ra	dc
27.7036	0.700265
60.9837	-17.0472
181.18	-0.355845
245.318	-0.723515
333.865	-16.2021
275.431	64.3284
201.424	-29.8393
327.083	-34.9604
52.3498	39.7824
245.761	37.9127
339.624	35.3395
8.5629	-21.4308
301.966	-11.1339
316.067	76.5506
341.407	39.698
344.304	-36.4563
198.959	42.021
339.276	34.4089
124.871	63.6444
175.941	46.3665
45.338	-47.1208
146.969	76.398
15.688	-21.8814
227.532	33.515
168.287	17.5864
194.377	-17.3434
235.206	66.2223
139.527	-12.0924
168.634	40.6154
194.244	47.3302
124.33	-7.54201
3.58592	-30.3522
203.201	50.5147
357.906	-26.0645
28.1856	36.172
49.4625	-44.2319
67.706	0.684581
72.2538	45.0067
72.4948	45.0385
159.074	-27.5687
258.569	50.2523
206.871	-11.7721
29.0956	5.60086
130.709	29.4566
347.943	-21.7292
348.284	-21.6608
137.667	54.3326
199.302	29.1717
207.729	60.0863
193.191	-9.12982
200.064	33.1469
189.15	62.2434
189.148	62.2427
189.144	62.2408
203.58	37.8243
203.556	37.9799
203.777	37.8434
203.753	37.9989
53.117	-27.8107
26.9005	2.32944
227.495	57.0422
14.3246	-27.3724
14.367	-27.7334
14.4116	-27.5576
14.4658	-27.3911
14.5068	-27.8961
14.6095	-27.4967
14.6594	-27.8207
205.877	0.0341606
206.036	-0.46759
206.11	-0.01029
5.63876	0.343804
187.269	75.4286
212.828	52.2028
3.7915	-39.2203
57.7059	-11.8024
73.172	-53.3738
73.2603	-53.0782
158.185	-14.399
161.695	11.6764
168.642	40.9342
206.84	-11.4834
256.883	23.8923
311.803	-36.4657
347.536	-22.3845
353.004	19.7488
266.171	-29.2736
265.981	-29.1715
267.055	-28.3752
266.245	-29.5417
266.866	-28.2743
266.054	-29.4397
266.71	-28.8757
266.676	-28.1732
265.864	-29.3375
266.52	-28.7744
266.941	-28.5421
266.128	-29.708
266.33	-28.6728
266.751	-28.4411
265.937	-29.6058
266.595	-29.0422
265.746	-29.5034
266.404	-28.9409
266.561	-28.3399
266.01	-29.8741
266.214	-28.8391
266.826	-28.7088
265.819	-29.7717
265.628	-29.6692
266.478	-29.2089
266.636	-28.6078
266.288	-29.1073
266.446	-28.5063
266.098	-29.0054
266.362	-29.3754
41.2572	62.4633
280.884	-3.90769
160.184	-70.7844
107.17	-49.5524
248.967	-28.225
77.3312	-67.6659
325.67	43.5847
290.772	4.95134
44.7311	13.4605
275.431	64.3284
275.432	64.3277
53.1178	-27.8102
53.117	-27.8107
244.466	-50.9296
244.54	-50.9608
244.522	-51.1304
244.388	-51.1576
244.392	-51.0479
349.606	-42.3788
42.0628	-3.55087
42.0317	-3.53784
272.872	-19.4413
139.528	-12.0942
139.528	-12.0973
139.523	-12.1002
139.521	-12.0993
139.521	-12.0992
353.415	48.8201
305.128	43.8488
305.114	43.8642
41.5807	-30.2841
184.73	47.2968
189.266	62.2176
243.536	-63.1176
189.266	62.2176
217.412	-62.6855
54.5967	-35.4526
230.484	-5.75385
232.309	-3.5667
233.142	-2.57295
233.647	-1.92434
131.417	7.43169
173.437	-70.1985
179.953	-78.2175
53.1201	-27.8121
53.1181	-27.8101
53.117	-27.8107
77.2754	-68.725
339.646	-9.43007
322.49	12.1694
322.489	12.167
339.724	-9.39848
299.621	35.1929
77.2754	-68.725
278.411	-21.0528
275.431	64.3284
256.047	78.6638
83.8601	-5.91937
189.143	62.24
189.148	62.2427
223.053	43.0282
265.103	9.99314
116.862	-19.3055
263.559	-26.0784
270.304	-25.7337
270.303	-25.7394
166.698	72.5708
137.664	54.3332
147.54	14.3249
213.311	-65.3422
243.975	-6.45185
183.662	14.4755
286.809	9.33199
286.808	9.33191
282.963	-1.40099
346.724	9.04865
346.655	9.08674
346.588	9.12374
346.511	9.16652
346.434	9.20868
